;Avant_Crise;Sans_Effet;Apres_Crise
Bin480;0;0;1
Bin486;0;1;0
Bin489;0;1;0
Bin49;0;0;1
Bin490;1;0;0
Bin491;1;0;0
Bin493;1;0;0
Bin494;1;0;0
Bin496;0;0;1
Bin497;1;0;0
Bin498;0;1;0
Bin501;1;0;0
Bin502;0;0;1
Bin505;1;0;0
Bin506;1;0;0
Bin507;1;0;0
Bin512;1;0;0
Bin514;0;1;0
Bin517;0;0;1
Bin52;1;0;0
Bin521;0;0;1
Bin526;0;0;1
Bin528;0;1;0
Bin53;1;0;0
Bin531;0;0;1
Bin532;1;0;0
Bin535;1;0;0
Bin537;0;1;0
Bin539;0;1;0
Bin54;1;0;0
Bin540;0;1;0
Bin545;0;1;0
Bin549;1;0;0
Bin55;1;0;0
Bin551;0;0;1
Bin553;0;0;1
Bin556;0;1;0
Bin56;1;0;0
Bin560;0;1;0
Bin561;1;0;0
Bin562;0;0;1
Bin565;0;1;0
Bin567;1;0;0
Bin568;0;1;0
Bin570;1;0;0
Bin571;1;0;0
Bin572;0;0;1
Bin573;1;0;0
Bin574;0;1;0
Bin576;0;1;0
Bin577;1;0;0
Bin58;1;0;0
Bin580;1;0;0
Bin589;1;0;0
Bin59;1;0;0
Bin592;1;0;0
Bin594;1;0;0
Bin598;1;0;0
Bin6;1;0;0
Bin60;0;1;0
Bin600;0;0;1
Bin601;0;0;1
Bin604;1;0;0
Bin605;1;0;0
Bin606;1;0;0
Bin607;1;0;0
Bin609;0;1;0
Bin61;1;0;0
Bin610;0;0;1
Bin611;0;0;1
Bin619;0;0;1
Bin621;1;0;0
Bin623;1;0;0
Bin626;1;0;0
Bin629;0;1;0
Bin63;1;0;0
Bin631;1;0;0
Bin632;0;1;0
Bin635;0;0;1
Bin636;0;0;1
Bin637;1;0;0
Bin64;0;1;0
Bin644;0;1;0
Bin647;1;0;0
Bin648;0;0;1
Bin65;1;0;0
Bin651;1;0;0
Bin652;1;0;0
Bin653;0;1;0
Bin654;1;0;0
Bin658;1;0;0
Bin66;1;0;0
Bin660;0;0;1
Bin666;0;0;1
Bin667;0;1;0
Bin67;1;0;0
Bin670;0;1;0
Bin671;1;0;0
Bin673;1;0;0
Bin675;1;0;0
Bin677;1;0;0
Bin679;1;0;0
Bin68;1;0;0
Bin682;1;0;0
Bin684;0;0;1
Bin685;1;0;0
Bin686;1;0;0
Bin692;0;0;1
Bin693;0;1;0
Bin695;0;1;0
Bin697;1;0;0
Bin698;0;1;0
Bin699;1;0;0
Bin700;0;0;1
Bin703;1;0;0
Bin708;0;0;1
Bin710;1;0;0
Bin713;0;1;0
Bin714;1;0;0
Bin715;0;0;1
Bin717;0;0;1
Bin720;0;0;1
Bin721;0;1;0
Bin722;0;1;0
Bin725;0;1;0
Bin726;1;0;0
Bin728;1;0;0
Bin733;0;1;0
Bin738;1;0;0
Bin74;1;0;0
Bin740;0;1;0
Bin744;1;0;0
Bin746;1;0;0
Bin748;1;0;0
Bin749;0;1;0
Bin750;0;0;1
Bin751;1;0;0
Bin752;0;0;1
Bin754;0;1;0
Bin758;1;0;0
Bin759;0;0;1
Bin760;0;0;1
Bin761;1;0;0
Bin767;1;0;0
Bin77;0;1;0
Bin772;0;1;0
Bin773;0;0;1
Bin774;0;0;1
Bin777;0;1;0
Bin779;1;0;0
Bin780;1;0;0
Bin781;0;1;0
Bin782;0;0;1
Bin783;1;0;0
Bin784;0;0;1
Bin785;0;1;0
Bin786;1;0;0
Bin787;0;0;1
Bin789;0;1;0
Bin791;0;0;1
Bin792;0;0;1
Bin794;1;0;0
Bin795;0;1;0
Bin798;0;0;1
Bin800;0;1;0
Bin805;0;1;0
Bin809;0;0;1
Bin816;0;1;0
Bin817;1;0;0
Bin821;0;1;0
Bin823;0;0;1
Bin824;1;0;0
Bin826;0;1;0
Bin828;0;1;0
Bin829;0;0;1
Bin83;1;0;0
Bin832;0;1;0
Bin833;0;1;0
Bin835;1;0;0
Bin838;1;0;0
Bin84;0;1;0
Bin840;0;0;1
Bin843;1;0;0
Bin844;1;0;0
Bin845;0;1;0
Bin846;1;0;0
Bin851;0;0;1
Bin852;0;0;1
Bin854;0;0;1
Bin858;1;0;0
Bin859;0;1;0
Bin860;1;0;0
Bin861;0;0;1
Bin87;1;0;0
Bin870;1;0;0
Bin873;0;0;1
Bin874;0;0;1
Bin876;1;0;0
Bin878;1;0;0
Bin879;1;0;0
Bin882;0;1;0
Bin885;1;0;0
Bin886;0;0;1
Bin89;1;0;0
Bin890;0;1;0
Bin892;1;0;0
Bin894;1;0;0
Bin896;0;0;1
Bin899;1;0;0
Bin9;0;0;1
Bin900;0;0;1
Bin902;1;0;0
Bin903;1;0;0
Bin905;0;0;1
Bin906;1;0;0
Bin909;1;0;0
Bin912;1;0;0
Bin913;0;1;0
Bin915;1;0;0
Bin921;1;0;0
Bin929;1;0;0
Bin930;1;0;0
Bin937;1;0;0
Bin938;1;0;0
Bin939;0;1;0
Bin94;0;0;1
Bin940;1;0;0
Bin941;0;0;1
Bin949;0;1;0
Bin952;0;1;0
Bin953;0;1;0
Bin956;0;0;1
Bin957;0;0;1
Bin958;1;0;0
Bin959;0;0;1
Bin961;0;0;1
Bin962;1;0;0
Bin967;1;0;0
Bin968;0;0;1
Bin97;0;1;0
Bin975;1;0;0
Bin98;1;0;0
Bin980;0;0;1
Bin983;1;0;0
Bin985;1;0;0
Bin986;0;1;0
Bin987;0;0;1
Bin990;0;0;1
Bin993;0;1;0
Bin995;0;0;1
Bin998;1;0;0
Bin999;0;0;1
